year,water_sector_id,backward_linkage_Tcc_colsum,forward_linkage_Tcc_rowsum,extraction_total_Tcc,extraction_total_Tii,influence_pct_param,influence_pct_total_commodity_output_waterind,influence_pct_total_industry_output_waterind,influence_delta_total_commodity_output_waterind,influence_delta_total_industry_output_waterind,influence_pct_total_commodity_output_crop,influence_pct_total_industry_output_crop,influence_delta_total_commodity_output_crop,influence_delta_total_industry_output_crop,influence_pct_total_commodity_output_semi,influence_pct_total_industry_output_semi,influence_delta_total_commodity_output_semi,influence_delta_total_industry_output_semi,n_commodities,n_industries
2011,14,1.6911602444842804,1.2463685957372352,81004.19798488979,17578.295777625157,0.1,7.561305941021272e-05,7.561305941442504e-05,22.66856166414027,22.668561665403104,0.0006051171231589824,0.0006051171231608224,181.4122444899226,181.41224449047422,2.6286844245048896e-05,2.628684425214776e-05,7.880714712147437,7.880714714275655,176,174
2012,14,1.7140316373226914,1.254479053691,84059.6867034682,17224.95009938762,0.1,6.979799112173615e-05,6.97979911425689e-05,21.46120861085933,21.4612086172649,0.0005951561885694651,0.0005951561885498324,182.99625696470207,182.99625695866553,2.4388207534061036e-05,2.4388207537225287e-05,7.4987890213135415,7.4987890222864735,176,174
2013,14,1.7182859794780856,1.266495461050345,87206.73072748003,17213.720249325965,0.1,6.956193747727552e-05,6.95619375083143e-05,21.849533322641946,21.849533332391275,0.0007399861239593915,0.0007399861239746483,232.4310112699959,232.43101127478803,2.423061226747227e-05,2.4230612273360362e-05,7.610880164732407,7.610880166581865,176,174
2014,14,1.7353397751681765,1.2779399652632153,92144.5241497416,17948.812081302713,0.1,6.960702465839422e-05,6.960702465643207e-05,22.50414204575236,22.504142045117987,0.0008285726722198614,0.0008285726722114489,267.87981819900597,267.8798181962861,2.4581365234797993e-05,2.4581365256729207e-05,7.9472228217946395,7.94722282888506,176,174
2015,14,1.764919463473762,1.2921756657813084,98165.0942302306,18200.507376735568,0.1,7.821489375732913e-05,7.821489374282548e-05,25.904219236254903,25.904219231451407,0.0009427159646523824,0.0009427159646400438,312.2208552969432,312.22085529285687,2.468782391501465e-05,2.4687823916439878e-05,8.176432549340007,8.176432549812034,176,174
2016,14,1.7680185894848717,1.3010970585173243,100867.06304542645,17818.6896070533,0.1,7.463257302876571e-05,7.463257302243682e-05,25.161029564886576,25.1610295627529,0.0010852709425117999,0.0010852709425339037,365.87957727153434,365.8795772789863,2.3802010941184248e-05,2.3802010929977836e-05,8.024419857051726,8.024419853273685,176,174
2017,14,1.7574909787313506,1.294369925413519,100774.26894130712,17101.84699578702,0.1,6.699292910276216e-05,6.699292911186814e-05,23.091210566396512,23.09121056953518,0.0010748989929953553,0.0010748989929968322,370.49759306374244,370.49759306425153,2.2814247844229476e-05,2.281424785616477e-05,7.863644834471643,7.863644838585515,176,174
2018,14,1.74916686047634,1.2923994975337094,101585.92426786493,17169.812282038452,0.1,6.518811640490027e-05,6.518811638233462e-05,23.117561840630515,23.1175618326281,0.001019124594431809,0.0010191245944270188,361.41059343929487,361.41059343759616,2.2623715138898556e-05,2.2623715131169363e-05,8.023013436065185,8.023013433324195,176,174
2019,14,1.745588244700908,1.2847877810468826,101076.85656083425,16715.172380339398,0.1,6.316200531868317e-05,6.31620053253309e-05,22.81536301623987,22.815363018641165,0.0009352990620602658,0.0009352990620367693,337.84848220044637,337.84848219195896,2.2230334627433014e-05,2.223033463266635e-05,8.03003565099516,8.030035652885545,176,174
2020,14,1.7307876411493441,1.2734695838527232,95425.898745746,16083.866377600252,0.1,6.0505451548899316e-05,6.050545155793536e-05,21.156625061014893,21.156625064174477,0.0010224063129885587,0.0010224063130105546,357.499472695152,357.49947270284315,2.2068827998229828e-05,2.2068828006719646e-05,7.71669176152227,7.716691764490861,176,174
2021,14,1.7275480189847279,1.2560448439046106,93935.38474828255,16480.7843529773,0.1,5.139464205949373e-05,5.139464205177029e-05,19.220010436424218,19.22001043353589,0.0009044721627783678,0.0009044721627752732,338.2446829366372,338.2446829354799,2.029671448534951e-05,2.0296714495249593e-05,7.590344997090597,7.590345000792922,176,174
2022,14,1.7387970305434148,1.2724724106497058,99400.27861598792,16964.992945653892,0.1,5.0822188906888554e-05,5.082218891027094e-05,19.630654098711602,19.63065410001809,0.0007980255599010553,0.0007980255598952545,308.246536902406,308.24653690016544,2.1943770145171574e-05,2.1943770131700853e-05,8.476033217119266,8.476033211916047,176,174
2023,14,1.7310108066227672,1.2635531108648825,98665.88274785993,16387.856620219078,0.1,5.441174875910846e-05,5.44117487907576e-05,21.527908790367746,21.52790880288967,0.0008390198202495457,0.0008390198202688897,331.9566559716452,331.9566559792986,2.1372090253774145e-05,2.1372090286579548e-05,8.455828385147015,8.455828398126414,176,174
2024,14,1.7167334475895724,1.2634050852600844,99396.64080464732,16493.26572291256,0.1,4.963925190668902e-05,4.9639251914738754e-05,20.057275583082628,20.05727558633521,0.0008350518543914713,0.0008350518543824836,337.411716058456,337.4117160548244,2.099133003278193e-05,2.099133002877198e-05,8.481773498810753,8.481773497190488,176,174
